S,l,e,vrf,T,Sc,L
0.000151,0.609,0.00199,0.000879,20.6,2.11e-07,0.0304
0.000155,0.619,0.00199,0.000978,16.8,2.15e-07,0.0299
0.000148,0.631,0.00201,0.000948,17.7,2.36e-07,0.0283
0.000148,0.546,0.00201,0.000954,22.8,2.06e-07,0.0303
0.000149,0.545,0.002,0.000891,14.4,1.95e-07,0.0299
0.000146,0.537,0.00199,0.000891,27.1,1.76e-07,0.0296
0.000149,0.564,0.00199,0.00113,25.7,1.87e-07,0.029
0.000153,0.588,0.002,0.00097,27.4,1.87e-07,0.0297
0.000152,0.546,0.00199,0.000605,27.0,2.25e-07,0.0324
0.000148,0.598,0.002,0.0011,20.3,1.77e-07,0.0274
0.000155,0.568,0.002,0.000873,19.7,1.87e-07,0.0311
0.000151,0.579,0.00202,0.000804,20.2,1.68e-07,0.0307
0.000149,0.59,0.00199,0.00124,15.0,1.93e-07,0.0276
0.000157,0.547,0.002,0.000678,18.9,1.83e-07,0.0339
0.000154,0.544,0.00199,0.00145,30.1,1.98e-07,0.0281
0.000157,0.561,0.002,0.000966,19.6,2.32e-07,0.0313
0.000147,0.552,0.00201,0.000978,25.3,1.77e-07,0.0296
0.000143,0.597,0.00199,0.000779,23.2,1.95e-07,0.0291
0.00015,0.581,0.00199,0.000788,19.8,1.9e-07,0.0307
0.000143,0.584,0.00202,0.0011,23.5,1.79e-07,0.0267
0.000146,0.523,0.00198,0.00107,18.8,1.78e-07,0.0294
0.000149,0.592,0.00201,0.00112,23.0,1.98e-07,0.0283
0.000148,0.577,0.00199,0.00135,13.8,1.83e-07,0.0268
0.000155,0.537,0.002,0.0011,20.7,1.91e-07,0.0307
0.000152,0.603,0.002,0.0012,22.0,1.61e-07,0.0279
0.000153,0.599,0.00198,0.000977,14.6,2.02e-07,0.0303
0.000149,0.602,0.00201,0.000774,14.6,1.92e-07,0.0299
0.000143,0.56,0.00201,0.000733,19.6,1.93e-07,0.0294
0.000148,0.551,0.00202,0.000943,17.3,1.94e-07,0.0295
0.000143,0.576,0.00201,0.000983,17.7,2.03e-07,0.0284
0.000152,0.599,0.00201,0.00126,23.1,2.08e-07,0.0279
0.000149,0.557,0.00202,0.00128,12.3,1.84e-07,0.028
0.000156,0.571,0.00199,0.00113,21.3,1.6e-07,0.0298
0.000158,0.581,0.00199,0.00112,23.3,1.92e-07,0.0305
0.000152,0.539,0.002,0.00118,16.3,2.19e-07,0.0295
0.000152,0.595,0.00199,0.00109,25.4,1.95e-07,0.0292
0.000148,0.61,0.00201,0.00107,20.6,1.69e-07,0.0283
0.000148,0.515,0.002,0.000743,28.2,2e-07,0.0307
0.000155,0.57,0.00199,0.00104,21.2,2.12e-07,0.0298
0.000151,0.536,0.00201,0.00108,21.3,1.77e-07,0.0292
0.000149,0.546,0.00199,0.001,22.1,1.97e-07,0.0289
0.000159,0.53,0.002,0.00119,20.9,2.17e-07,0.0305
0.000148,0.55,0.00198,0.000954,19.4,1.83e-07,0.029
0.000148,0.543,0.00198,0.00097,10.8,2.02e-07,0.0294
0.000148,0.577,0.002,0.000985,26.5,1.49e-07,0.0294
0.00015,0.57,0.00199,0.000945,20.0,1.96e-07,0.0298
0.000151,0.527,0.002,0.000862,21.5,1.82e-07,0.0304
0.000146,0.563,0.00202,0.000945,23.2,2.06e-07,0.0287
0.000153,0.556,0.00201,0.000789,30.7,1.72e-07,0.0308
0.000153,0.552,0.002,0.00109,20.4,2.01e-07,0.0293
0.000154,0.582,0.00202,0.000743,23.9,1.94e-07,0.0317
0.000154,0.536,0.002,0.000658,25.8,2.01e-07,0.0327
0.000157,0.588,0.00201,0.00113,24.8,1.66e-07,0.0296
0.000147,0.597,0.002,0.000792,23.5,1.85e-07,0.0303
0.000148,0.574,0.002,0.00106,17.6,1.59e-07,0.0292
0.000159,0.561,0.002,0.00088,25.7,1.76e-07,0.0316
0.000156,0.591,0.00199,0.000905,26.8,2.59e-07,0.0308
0.00015,0.538,0.00202,0.00105,24.2,2.06e-07,0.0284
0.000158,0.563,0.002,0.000929,24.9,1.72e-07,0.0316
0.000154,0.564,0.002,0.00145,18.6,1.85e-07,0.0275
0.000161,0.567,0.00199,0.00135,19.5,2.22e-07,0.03
0.00015,0.572,0.00199,0.00137,25.1,2.5e-07,0.0277
0.000153,0.569,0.00201,0.00117,27.7,1.94e-07,0.0291
0.00015,0.58,0.00199,0.00102,22.0,2.03e-07,0.0294
0.000151,0.546,0.00199,0.000969,23.6,1.9e-07,0.0299
0.000151,0.589,0.002,0.00118,22.2,2.28e-07,0.028
0.000154,0.58,0.00199,0.00111,21.0,1.86e-07,0.029
0.00015,0.49,0.00201,0.00105,24.0,1.95e-07,0.0294
0.00015,0.587,0.002,0.00094,23.4,2.02e-07,0.0298
0.000149,0.601,0.00199,0.000949,24.2,2.1e-07,0.029
0.00015,0.591,0.002,0.000834,19.2,1.97e-07,0.0294
0.000144,0.565,0.002,0.00109,26.8,2e-07,0.0281
0.000148,0.552,0.00198,0.000989,22.6,2.32e-07,0.0298
0.00016,0.583,0.002,0.0011,16.9,2.05e-07,0.0305
0.000144,0.548,0.002,0.00114,22.0,1.86e-07,0.0277
0.000148,0.602,0.00201,0.000893,18.6,1.99e-07,0.029
0.000149,0.596,0.00199,0.000984,20.1,1.91e-07,0.0285
0.000143,0.594,0.00202,0.00122,15.6,1.99e-07,0.026
0.000143,0.553,0.002,0.000736,21.1,1.92e-07,0.0299
0.000155,0.571,0.002,0.000829,21.1,2.05e-07,0.0313
0.000156,0.498,0.00199,0.00096,20.0,1.95e-07,0.0317
0.000148,0.525,0.002,0.00101,23.2,1.97e-07,0.0297
0.000144,0.569,0.00199,0.00128,20.2,1.91e-07,0.0265
0.000146,0.59,0.002,0.000776,18.7,1.74e-07,0.0307
0.00015,0.559,0.002,0.00082,26.3,2.03e-07,0.031
0.000148,0.581,0.002,0.00108,14.4,2.28e-07,0.0287
0.000151,0.547,0.002,0.000908,22.2,2.07e-07,0.0296
0.000154,0.517,0.002,0.000578,23.0,1.89e-07,0.0337
0.000142,0.593,0.00199,0.00111,31.7,2.01e-07,0.0273
0.000155,0.553,0.00199,0.00132,12.8,1.65e-07,0.0281
0.000154,0.569,0.002,0.000996,23.3,1.62e-07,0.0302
0.000148,0.619,0.002,0.000983,14.5,2.36e-07,0.0285
0.000147,0.576,0.002,0.000765,20.6,2.3e-07,0.0304
0.000152,0.574,0.00201,0.00088,13.9,2.18e-07,0.0307
0.000146,0.536,0.002,0.00145,23.0,2.19e-07,0.0258
0.00015,0.552,0.00202,0.00112,26.6,2.01e-07,0.0286
0.000149,0.56,0.00201,0.00101,21.2,2.09e-07,0.0288
0.000152,0.529,0.002,0.00106,22.9,1.76e-07,0.0293
0.00015,0.531,0.002,0.00109,26.1,1.91e-07,0.0297
0.000147,0.534,0.002,0.000957,20.0,1.83e-07,0.0298
0.000151,0.561,0.00199,0.00103,23.8,2.12e-07,0.0294
0.00015,0.588,0.00198,0.00108,18.0,1.66e-07,0.0283
0.000153,0.509,0.00199,0.000775,17.1,1.76e-07,0.0325
0.000146,0.592,0.00198,0.000904,14.8,2.04e-07,0.0292
0.000149,0.537,0.002,0.00037,18.5,2.1e-07,0.0342
0.000155,0.543,0.00201,0.000919,20.2,2.03e-07,0.0312
0.000155,0.562,0.00198,0.00107,22.3,2.01e-07,0.0306
0.000148,0.606,0.002,0.000812,19.8,1.94e-07,0.0298
0.000148,0.593,0.00199,0.00124,19.2,1.99e-07,0.0278
0.000153,0.534,0.002,0.000897,33.7,1.91e-07,0.0303
0.000148,0.532,0.00199,0.000794,25.7,2.01e-07,0.0309
0.00015,0.573,0.002,0.00107,24.0,1.89e-07,0.0286
0.00015,0.545,0.00202,0.000722,22.2,1.95e-07,0.0311
0.000149,0.559,0.002,0.00092,19.2,1.95e-07,0.0299
0.00015,0.561,0.00199,0.000984,13.2,2.05e-07,0.03
0.000144,0.517,0.002,0.00131,16.3,2.1e-07,0.0272
0.000144,0.617,0.00199,0.00112,21.1,1.87e-07,0.0275
0.000145,0.601,0.002,0.000839,19.8,2.02e-07,0.0298
0.000149,0.558,0.00202,0.00109,21.7,1.65e-07,0.0287
0.000149,0.595,0.00199,0.00107,27.7,1.7e-07,0.0286
0.000153,0.547,0.00199,0.000757,17.5,2.2e-07,0.032
0.000144,0.598,0.002,0.00091,18.6,1.91e-07,0.0286
0.000155,0.606,0.002,0.00106,18.5,1.84e-07,0.0296
0.000149,0.59,0.00197,0.00119,21.3,1.97e-07,0.0275
0.000148,0.604,0.00201,0.00121,12.2,1.99e-07,0.0278
0.000151,0.58,0.00199,0.000656,17.6,1.73e-07,0.0318
0.000154,0.602,0.002,0.000757,18.8,2.29e-07,0.0323
0.000153,0.564,0.00199,0.00125,24.0,1.85e-07,0.0289
0.00015,0.618,0.002,0.00117,27.4,2.23e-07,0.0275
0.000149,0.617,0.002,0.000901,20.4,1.88e-07,0.0296
0.000151,0.556,0.00199,0.00142,18.6,1.6e-07,0.0275
0.000148,0.516,0.002,0.00104,24.5,2.04e-07,0.0296
0.000146,0.594,0.002,0.00125,13.4,1.7e-07,0.027
0.000155,0.581,0.002,0.000942,23.8,2.25e-07,0.0305
0.00015,0.557,0.00201,0.00114,18.7,1.89e-07,0.0277
0.00015,0.568,0.00201,0.00142,35.3,2.21e-07,0.0266
0.000148,0.593,0.002,0.0011,14.2,1.8e-07,0.0286
0.000156,0.553,0.00198,0.000701,22.3,2.04e-07,0.0334
0.000147,0.628,0.00199,0.000739,19.6,2.24e-07,0.0302
0.00015,0.541,0.002,0.000761,12.3,2.19e-07,0.0305
0.000149,0.514,0.002,0.00141,16.6,1.85e-07,0.0275
0.000158,0.594,0.002,0.00124,18.3,2.01e-07,0.0292
0.000153,0.607,0.002,0.00053,16.5,1.9e-07,0.0326
0.000148,0.541,0.002,0.00106,18.2,1.56e-07,0.0293
0.000152,0.551,0.00201,0.00121,18.7,2.23e-07,0.0282
0.000149,0.584,0.00198,0.00078,25.9,1.89e-07,0.0308
0.000149,0.561,0.00202,0.00116,15.3,2e-07,0.0285
0.000152,0.584,0.00201,0.00129,26.1,1.67e-07,0.0278
0.000143,0.599,0.00199,0.00124,19.3,1.99e-07,0.0265
0.000149,0.608,0.00202,0.000533,17.0,2.14e-07,0.0323
0.00015,0.566,0.002,0.00101,20.7,1.97e-07,0.0295
